Биграмма;Частота;Вероятность;
аа;38;0,000439103;
аб;132;0,00152531;
ав;511;0,00590478;
аг;102;0,00117865;
ад;165;0,00190663;
ае;141;0,0016293;
аж;185;0,00213774;
аз;430;0,0049688;
аи;144;0,00166397;
ай;46;0,000531546;
ак;509;0,00588167;
ал;785;0,00907095;
ам;306;0,00353594;
ан;666;0,00769586;
ао;125;0,00144442;
ап;256;0,00295817;
ар;294;0,00339727;
ас;558;0,00644789;
ат;507;0,00585856;
ау;49;0,000566212;
аф;43;0,00049688;
ах;105;0,00121331;
ац;23;0,000265773;
ач;120;0,00138664;
аш;97;0,00112087;
ащ;31;0,000358216;
аэ;28;0,00032355;
аю;71;0,00082043;
ая;316;0,00365149;
ба;84;0,000970649;
бб;9;0,000103998;
бв;20;0,000231107;
бг;1;1,15554e-05;
бе;238;0,00275017;
бж;1;1,15554e-05;
би;78;0,000901317;
бк;27;0,000311994;
бл;89;0,00102843;
бм;5;5,77767e-05;
бн;39;0,000450659;
бо;279;0,00322394;
бп;1;1,15554e-05;
бр;138;0,00159464;
бс;22;0,000254218;
бт;1;1,15554e-05;
бу;90;0,00103998;
бх;7;8,08875e-05;
бщ;29;0,000335105;
бъ;12;0,000138664;
бы;296;0,00342038;
бь;4;4,62214e-05;
бэ;2;2,31107e-05;
бя;35;0,000404437;
ва;530;0,00612434;
вб;18;0,000207996;
вв;41;0,000473769;
вг;45;0,000519991;
вд;82;0,000947539;
ве;600;0,00693321;
вж;3;3,4666e-05;
вз;38;0,000439103;
ви;360;0,00415993;
вк;55;0,000635544;
вл;143;0,00165242;
вм;40;0,000462214;
вн;229;0,00264618;
во;824;0,00952161;
вп;63;0,000727987;
вр;96;0,00110931;
вс;443;0,00511902;
вт;57;0,000658655;
ву;86;0,00099376;
вх;9;0,000103998;
вц;4;4,62214e-05;
вч;16;0,000184886;
вш;77;0,000889762;
вщ;1;1,15554e-05;
вы;261;0,00301595;
вь;21;0,000242662;
вэ;17;0,000196441;
вя;26;0,000300439;
га;101;0,00116709;
гв;8;9,24428e-05;
гг;1;1,15554e-05;
гд;80;0,000924428;
ге;77;0,000889762;
гж;2;2,31107e-05;
гз;3;3,4666e-05;
ги;127;0,00146753;
гк;10;0,000115553;
гл;134;0,00154842;
гм;6;6,93321e-05;
гн;25;0,000288884;
го;877;0,010134;
гп;6;6,93321e-05;
гр;119;0,00137509;
гс;6;6,93321e-05;
гу;50;0,000577767;
гч;3;3,4666e-05;
гэ;2;2,31107e-05;
гю;1;1,15554e-05;
да;391;0,00451814;
дб;3;3,4666e-05;
дв;72;0,000831985;
дг;5;5,77767e-05;
дд;4;4,62214e-05;
де;478;0,00552346;
дж;3;3,4666e-05;
дз;7;8,08875e-05;
ди;247;0,00285417;
дк;20;0,000231107;
дл;99;0,00114398;
дм;3;3,4666e-05;
дн;211;0,00243818;
до;352;0,00406748;
дп;8;9,24428e-05;
др;181;0,00209152;
дс;52;0,000600878;
дт;22;0,000254218;
ду;170;0,00196441;
дх;4;4,62214e-05;
дц;15;0,00017333;
дч;10;0,000115553;
дш;9;0,000103998;
дъ;9;0,000103998;
ды;67;0,000774208;
дь;32;0,000369771;
дэ;2;2,31107e-05;
дю;2;2,31107e-05;
дя;33;0,000381327;
еа;34;0,000392882;
еб;195;0,00225329;
ев;321;0,00370927;
ег;351;0,00405593;
ед;342;0,00395193;
ее;220;0,00254218;
еж;137;0,00158308;
ез;196;0,00226485;
еи;146;0,00168708;
ей;265;0,00306217;
ек;205;0,00236885;
ел;592;0,00684077;
ем;496;0,00573145;
ен;1 077;0,0124451;
ео;184;0,00212618;
еп;300;0,0034666;
ер;710;0,0082043;
ес;632;0,00730298;
ет;469;0,00541946;
еу;61;0,000704876;
еф;12;0,000138664;
ех;97;0,00112087;
ец;27;0,000311994;
еч;173;0,00199908;
еш;65;0,000751098;
ещ;61;0,000704876;
еэ;25;0,000288884;
ею;34;0,000392882;
ея;54;0,000623989;
жа;114;0,00131731;
жб;9;0,000103998;
жв;3;3,4666e-05;
жд;111;0,00128264;
же;348;0,00402126;
жж;1;1,15554e-05;
жи;187;0,00216085;
жк;15;0,00017333;
жм;3;3,4666e-05;
жн;94;0,0010862;
жо;4;4,62214e-05;
жп;1;1,15554e-05;
жс;2;2,31107e-05;
жт;2;2,31107e-05;
жу;11;0,000127109;
жч;6;6,93321e-05;
жь;1;1,15554e-05;
жю;2;2,31107e-05;
жя;2;2,31107e-05;
за;481;0,00555812;
зб;18;0,000207996;
зв;90;0,00103998;
зг;45;0,000519991;
зд;68;0,000785764;
зе;47;0,000543101;
зж;11;0,000127109;
зз;6;6,93321e-05;
зи;48;0,000554657;
зк;22;0,000254218;
зл;35;0,000404437;
зм;28;0,00032355;
зн;268;0,00309683;
зо;64;0,000739542;
зп;19;0,000219552;
зр;26;0,000300439;
зс;26;0,000300439;
зт;6;6,93321e-05;
зу;49;0,000566212;
зф;1;1,15554e-05;
зх;1;1,15554e-05;
зц;3;3,4666e-05;
зч;3;3,4666e-05;
зш;1;1,15554e-05;
зы;38;0,000439103;
зь;69;0,000797319;
зэ;10;0,000115553;
зю;6;6,93321e-05;
зя;47;0,000543101;
иа;28;0,00032355;
иб;103;0,0011902;
ив;422;0,00487636;
иг;120;0,00138664;
ид;216;0,00249596;
ие;325;0,00375549;
иж;46;0,000531546;
из;342;0,00395193;
ии;184;0,00212618;
ий;138;0,00159464;
ик;298;0,00344349;
ил;460;0,00531546;
им;392;0,0045297;
ин;516;0,00596256;
ио;163;0,00188352;
ип;231;0,00266929;
ир;187;0,00216085;
ис;446;0,00515369;
ит;433;0,00500347;
иу;46;0,000531546;
иф;7;8,08875e-05;
их;207;0,00239196;
иц;125;0,00144442;
ич;182;0,00210307;
иш;49;0,000566212;
ищ;7;8,08875e-05;
иъ;1;1,15554e-05;
иэ;36;0,000415993;
ию;36;0,000415993;
ия;224;0,0025884;
й ;1;1,15554e-05;
йа;20;0,000231107;
йб;33;0,000381327;
йв;109;0,00125953;
йг;27;0,000311994;
йд;54;0,000623989;
йе;13;0,00015022;
йж;26;0,000300439;
йз;15;0,00017333;
йи;55;0,000635544;
йк;76;0,000878207;
йл;20;0,000231107;
йм;62;0,000716432;
йн;169;0,00195285;
йо;58;0,00067021;
йп;110;0,00127109;
йр;44;0,000508435;
йс;169;0,00195285;
йт;66;0,000762653;
йу;28;0,00032355;
йф;9;0,000103998;
йх;6;6,93321e-05;
йц;4;4,62214e-05;
йч;33;0,000381327;
йш;10;0,000115553;
йэ;5;5,77767e-05;
йю;1;1,15554e-05;
йя;8;9,24428e-05;
ка;700;0,00808875;
кб;29;0,000335105;
кв;46;0,000531546;
кг;7;8,08875e-05;
кд;16;0,000184886;
ке;44;0,000508435;
кж;13;0,00015022;
кз;2;2,31107e-05;
ки;277;0,00320083;
кк;18;0,000207996;
кл;42;0,000485325;
км;11;0,000127109;
кн;191;0,00220707;
ко;852;0,00984516;
кп;30;0,00034666;
кр;162;0,00187197;
кс;40;0,000462214;
кт;68;0,000785764;
ку;137;0,00158308;
кх;6;6,93321e-05;
кц;3;3,4666e-05;
кч;8;9,24428e-05;
кш;1;1,15554e-05;
кэ;9;0,000103998;
кю;2;2,31107e-05;
кя;2;2,31107e-05;
ла;630;0,00727987;
лб;18;0,000207996;
лв;65;0,000751098;
лг;20;0,000231107;
лд;26;0,000300439;
ле;455;0,00525768;
лж;28;0,00032355;
лз;14;0,000161775;
ли;663;0,0076612;
лк;119;0,00137509;
лл;17;0,000196441;
лм;8;9,24428e-05;
лн;85;0,000982205;
ло;604;0,00697943;
лп;61;0,000704876;
лр;15;0,00017333;
лс;251;0,00290039;
лт;18;0,000207996;
лу;110;0,00127109;
лф;3;3,4666e-05;
лх;2;2,31107e-05;
лц;1;1,15554e-05;
лч;30;0,00034666;
лш;1;1,15554e-05;
лы;83;0,000959094;
ль;402;0,00464525;
лэ;7;8,08875e-05;
лю;161;0,00186041;
ля;184;0,00212618;
ма;251;0,00290039;
мб;41;0,000473769;
мв;73;0,000843541;
мг;32;0,000369771;
мд;40;0,000462214;
ме;348;0,00402126;
мж;7;8,08875e-05;
мз;12;0,000138664;
ми;470;0,00543101;
мк;47;0,000543101;
мл;33;0,000381327;
мм;29;0,000335105;
мн;188;0,00217241;
мо;384;0,00443725;
мп;89;0,00102843;
мр;23;0,000265773;
мс;86;0,00099376;
мт;35;0,000404437;
му;231;0,00266929;
мф;2;2,31107e-05;
мх;9;0,000103998;
мц;4;4,62214e-05;
мч;33;0,000381327;
мш;3;3,4666e-05;
мы;86;0,00099376;
мь;12;0,000138664;
мэ;8;9,24428e-05;
мя;41;0,000473769;
на;1 063;0,0122833;
нб;26;0,000300439;
нв;37;0,000427548;
нг;27;0,000311994;
нд;90;0,00103998;
не;839;0,00969494;
нж;2;2,31107e-05;
нз;4;4,62214e-05;
ни;920;0,0106309;
нк;36;0,000415993;
нл;8;9,24428e-05;
нм;7;8,08875e-05;
нн;541;0,00625144;
но;1 064;0,0122949;
нп;53;0,000612434;
нр;29;0,000335105;
нс;123;0,00142131;
нт;99;0,00114398;
ну;254;0,00293506;
нф;5;5,77767e-05;
нх;3;3,4666e-05;
нц;45;0,000519991;
нч;32;0,000369771;
нщ;21;0,000242662;
ны;480;0,00554657;
нь;115;0,00132887;
нэ;4;4,62214e-05;
ню;17;0,000196441;
ня;300;0,0034666;
оа;23;0,000265773;
об;492;0,00568523;
ов;1 030;0,011902;
ог;611;0,00706032;
од;583;0,00673677;
ое;333;0,00384793;
ож;189;0,00218396;
оз;160;0,00184886;
ои;251;0,00290039;
ой;569;0,00657499;
ок;229;0,00264618;
ол;685;0,00791541;
ом;556;0,00642477;
он;802;0,00926739;
оо;179;0,00206841;
оп;315;0,00363994;
ор;651;0,00752253;
ос;907;0,0104807;
от;718;0,00829674;
оу;44;0,000508435;
оф;43;0,00049688;
ох;63;0,000727987;
оц;26;0,000300439;
оч;207;0,00239196;
ош;91;0,00105154;
ощ;17;0,000196441;
оэ;45;0,000519991;
ою;54;0,000623989;
оя;101;0,00116709;
па;114;0,00131731;
пб;3;3,4666e-05;
пв;1;1,15554e-05;
пе;205;0,00236885;
пи;99;0,00114398;
пк;5;5,77767e-05;
пл;70;0,000808874;
пн;11;0,000127109;
по;840;0,00970649;
пп;17;0,000196441;
пр;585;0,00675988;
пс;2;2,31107e-05;
пт;4;4,62214e-05;
пу;55;0,000635544;
пч;3;3,4666e-05;
пы;25;0,000288884;
пь;73;0,000843541;
пя;22;0,000254218;
ра;890;0,0102843;
рб;28;0,00032355;
рв;47;0,000543101;
рг;29;0,000335105;
рд;30;0,00034666;
ре;637;0,00736076;
рж;42;0,000485325;
рз;3;3,4666e-05;
ри;472;0,00545413;
рк;20;0,000231107;
рл;10;0,000115553;
рм;27;0,000311994;
рн;75;0,000866651;
ро;707;0,00816963;
рп;20;0,000231107;
рр;5;5,77767e-05;
рс;38;0,000439103;
рт;78;0,000901317;
ру;269;0,00310839;
рф;2;2,31107e-05;
рх;15;0,00017333;
рц;7;8,08875e-05;
рч;13;0,00015022;
рш;30;0,00034666;
рщ;3;3,4666e-05;
ръ;1;1,15554e-05;
ры;119;0,00137509;
